,mouse,day,session,filepath
64,1,33,openfield,Teris/FragileX/data/openfield/M1_D33_2021-02-24_15-52-23
65,1,33,VR,Teris/FragileX/data/VR/M1_D33_2021-02-24_15-09-47
66,1,34,openfield,Teris/FragileX/data/openfield/M1_D34_2021-02-25_15-50-44
67,1,34,VR,Teris/FragileX/data/VR/M1_D34_2021-02-25_15-10-10
68,1,35,openfield,Teris/FragileX/data/openfield/M1_D35_2021-02-26_15-38-18
69,1,35,VR,Teris/FragileX/data/VR/M1_D35_2021-02-26_14-56-05
70,1,36,openfield,Teris/FragileX/data/openfield/M1_D36_2021-03-01_15-36-57
71,1,36,VR,Teris/FragileX/data/VR/M1_D36_2021-03-01_14-56-15
72,1,37,openfield,Teris/FragileX/data/openfield/M1_D37_2021-03-02_15-54-41
73,1,37,VR,Teris/FragileX/data/VR/M1_D37_2021-03-02_15-05-31
74,1,38,openfield,Teris/FragileX/data/openfield/M1_D38_2021-03-03_15-49-09
75,1,38,VR,Teris/FragileX/data/VR/M1_D38_2021-03-03_15-04-50
76,1,39,openfield,Teris/FragileX/data/openfield/M1_D39_2021-03-04_16-12-41
77,1,39,VR,Teris/FragileX/data/VR/M1_D39_2021-03-04_15-34-10
78,1,40,openfield,Teris/FragileX/data/openfield/M1_D40_2021-03-05_15-36-51
79,1,40,VR,Teris/FragileX/data/VR/M1_D40_2021-03-05_14-56-57
80,2,1,openfield,Teris/FragileX/data/openfield/M2_D1_2021-01-11_16-56-26
81,2,1,VR,Teris/FragileX/data/VR/M2_D1_2021-01-11_15-53-56
82,2,2,openfield,Teris/FragileX/data/openfield/M2_D2_2021-01-12_17-23-40
83,2,2,VR,Teris/FragileX/data/VR/M2_D2_2021-01-12_15-47-06
84,2,3,openfield,Teris/FragileX/data/openfield/M2_D3_2021-01-13_16-50-56
85,2,3,VR,Teris/FragileX/data/VR/M2_D3_2021-01-13_15-39-39
86,2,4,openfield,Teris/FragileX/data/openfield/M2_D4_2021-01-14_15-49-12
87,2,4,VR,Teris/FragileX/data/VR/M2_D4_2021-01-14_15-00-36
