mouse,day,session,filepath
20,14,OF1,Harry/EphysNeuropixelData/of/M20_D14_2024-05-13_16-10-35_OF1
20,14,OF2,Harry/EphysNeuropixelData/of/M20_D14_2024-05-13_17-40-50_OF2
20,14,VR,Harry/EphysNeuropixelData/vr/M20_D14_2024-05-13_16-45-26_VR1
20,15,OF1,Harry/EphysNeuropixelData/of/M20_D15_2024-05-14_14-47-48_OF1
20,15,OF2,Harry/EphysNeuropixelData/of/M20_D15_2024-05-14_16-04-54_OF2
20,15,VR,Harry/EphysNeuropixelData/vr/M20_D15_2024-05-14_15-15-41_VR1
20,16,OF1,Harry/EphysNeuropixelData/of/M20_D16_2024-05-15_15-46-14_OF1
20,16,OF2,Harry/EphysNeuropixelData/of/M20_D16_2024-05-15_17-07-43_OF2
20,16,VR,Harry/EphysNeuropixelData/vr/M20_D16_2024-05-15_16-16-44_VR1
20,17,OF1,Harry/EphysNeuropixelData/of/M20_D17_2024-05-16_16-04-50_OF1
20,17,OF2,Harry/EphysNeuropixelData/of/M20_D17_2024-05-16_17-20-03_OF2
20,17,VR,Harry/EphysNeuropixelData/vr/M20_D17_2024-05-16_16-33-37_VR1
20,18,OF1,Harry/EphysNeuropixelData/of/M20_D18_2024-05-17_13-42-59_OF1
20,18,OF2,Harry/EphysNeuropixelData/of/M20_D18_2024-05-17_14-49-53_OF2
20,18,VR,Harry/EphysNeuropixelData/vr/M20_D18_2024-05-17_14-10-46_VR1
20,19,OF1,Harry/EphysNeuropixelData/of/M20_D19_2024-05-20_13-45-54_OF1
20,19,OF2,Harry/EphysNeuropixelData/of/M20_D19_2024-05-20_14-49-24_OF2
20,19,VR,Harry/EphysNeuropixelData/vr/M20_D19_2024-05-20_14-13-36_VR1
20,20,OF1,Harry/EphysNeuropixelData/of/M20_D20_2024-05-21_13-47-52_OF1
20,20,OF2,Harry/EphysNeuropixelData/of/M20_D20_2024-05-21_14-48-00_OF2
20,20,VR,Harry/EphysNeuropixelData/vr/M20_D20_2024-05-21_14-15-08_VR1
20,21,OF1,Harry/EphysNeuropixelData/of/M20_D21_2024-05-22_13-52-12_OF1
20,21,OF2,Harry/EphysNeuropixelData/of/M20_D21_2024-05-22_14-54-48_OF2
20,21,VR,Harry/EphysNeuropixelData/vr/M20_D21_2024-05-22_14-20-33_VR1
20,22,OF1,Harry/EphysNeuropixelData/of/M20_D22_2024-05-23_14-00-08_OF1
20,22,OF2,Harry/EphysNeuropixelData/of/M20_D22_2024-05-23_15-04-41_OF2
20,22,VR,Harry/EphysNeuropixelData/vr/M20_D22_2024-05-23_14-25-45_VR1
20,23,OF1,Harry/EphysNeuropixelData/of/M20_D23_2024-05-25_14-10-43_OF1
20,23,OF2,Harry/EphysNeuropixelData/of/M20_D23_2024-05-25_15-40-32_OF2
20,23,VR,Harry/EphysNeuropixelData/vr/M20_D23_2024-05-25_14-54-34_VR1
20,24,OF1,Harry/EphysNeuropixelData/of/M20_D24_2024-05-26_14-17-55_OF1
20,24,OF2,Harry/EphysNeuropixelData/of/M20_D24_2024-05-26_15-32-27_OF2
20,24,VR,Harry/EphysNeuropixelData/vr/M20_D24_2024-05-26_14-49-32_VR1
20,25,OF1,Harry/EphysNeuropixelData/of/M20_D25_2024-05-27_13-57-19_OF1
