mouse,day,session,filepath
7,9,MMNAV,Wolf/mmnav/data/raw/VR/M07_D09_2026-06-14_13-30-45_MMNAV
10,11,MMNAV,Wolf/mmnav/data/raw/VR/M10_D11_2026-06-16_12-22-58_MMNAV
3,9,MMNAV2,Wolf/mmnav/data/raw/VR/M03_D09_2025-11-20_14-32-39_MMNAV2
6,4,MMNAV1,Wolf/mmnav/data/raw/VR/M06_D04_2025-11-16_15-20-00_MMNAV1
4,17,MMNAVGPI,Wolf/mmnav/data/raw/VR/M04_D17_2025-11-29_15-39-20_MMNAVGPI
10,6,MMNAV,Wolf/mmnav/data/raw/VR/M10_D06_2026-06-11_16-17-39_MMNAV
2,3,MMNAV1,Wolf/mmnav/data/raw/VR/M02_D03_2025-11-14_13-00-00_MMNAV1
10,21,MMNAV,Wolf/mmnav/data/raw/VR/M10_D21_2026-06-28_16-49-32_MMNAV
9,5,MMNAV,Wolf/mmnav/data/raw/VR/M09_D05_2026-06-10_16-07-27_MMNAV
4,7,MMNAV2,Wolf/mmnav/data/raw/VR/M04_D07_2025-11-19_14-43-51_MMNAV2
4,12,MMNAVG,Wolf/mmnav/data/raw/VR/M04_D12_2025-11-24_15-30-00_MMNAVG
10,15,MMNAV,Wolf/mmnav/data/raw/VR/M10_D15_2026-06-22_16-04-04_MMNAV
2,5,MMNAV1,Wolf/mmnav/data/raw/VR/M02_D05_2025-11-16_12-45-00_MMNAV1
6,22,MMNAVGPI,Wolf/mmnav/data/raw/VR/M06_D22_2025-12-03_16-00-00_MMNAVGPI
3,7,MMNAV2,Wolf/mmnav/data/raw/VR/M03_D07_2025-11-18_14-23-34_MMNAV2
4,4,MMNAV1,Wolf/mmnav/data/raw/VR/M04_D04_2025-11-16_14-09-45_MMNAV1
3,6,MMNAV2,Wolf/mmnav/data/raw/VR/M03_D06_2025-11-17_14-15-43_MMNAV2
6,5,MMNAV2,Wolf/mmnav/data/raw/VR/M06_D05_2025-11-17_18-00-00_MMNAV2
5,2,MMNAV1,Wolf/mmnav/data/raw/VR/M05_D02_2025-11-14_15-23-02_MMNAV1
5,16,MMNAVGPI,Wolf/mmnav/data/raw/VR/M05_D16_2025-11-28_15-54-29_MMNAVGPI
2,7,MMNAV2,Wolf/mmnav/data/raw/VR/M02_D07_2025-11-18_13-00-00_MMNAV2
9,3,MMNAV,Wolf/mmnav/data/raw/VR/M09_D03_2026-06-08_15-38-45_MMNAV
9,1,MMNAV,Wolf/mmnav/data/raw/VR/M09_D01_2026-06-06_15-37-02_MMNAV
9,20,MMNAV,Wolf/mmnav/data/raw/VR/M09_D20_2026-06-27_16-09-33_MMNAV
2,20,MMNAVGPI,Wolf/mmnav/data/raw/VR/M02_D20_2025-12-01_13-00-00_MMNAVGPI
3,18,MMNAVGPI,Wolf/mmnav/data/raw/VR/M03_D18_2025-11-29_15-05-14_MMNAVGPI
6,16,MMNAVGPI,Wolf/mmnav/data/raw/VR/M06_D16_2025-11-28_16-00-00_MMNAVGPI
5,12,MMNAVG,Wolf/mmnav/data/raw/VR/M05_D12_2025-11-24_16-00-00_MMNAVG
6,14,MMNAVGPI,Wolf/mmnav/data/raw/VR/M06_D14_2025-11-26_16-30-00_MMNAVGPI
5,5,MMNAV2,Wolf/mmnav/data/raw/VR/M05_D05_2025-11-17_17-13-24_MMNAV2
3,19,MMNAVGPI,Wolf/mmnav/data/raw/VR/M03_D19_2025-11-30_12-24-11_MMNAVGPI
6,21,MMNAVGPI,Wolf/mmnav/data/raw/VR/M06_D21_2025-12-03_16-00-00_MMNAVGPI
3,16,MMNAVGPI,Wolf/mmnav/data/raw/VR/M03_D16_2025-11-27_14-05-20_MMNAVGPI
10,14,MMNAV,Wolf/mmnav/data/raw/VR/M10_D14_2026-06-20_16-19-11_MMNAV
4,8,MMNAV2,Wolf/mmnav/data/raw/VR/M04_D08_2025-11-20_15-50-08_MMNAV2
6,18,MMNAVGPI,Wolf/mmnav/data/raw/VR/M06_D18_2025-11-30_16-00-00_MMNAVGPI
10,19,MMNAV,Wolf/mmnav/data/raw/VR/M10_D19_2026-06-26_16-14-16_MMNAV
2,24,MMNAVGPI,Wolf/mmnav/data/raw/VR/M02_D24_2025-12-05_13-00-00_MMNAVGPI
4,18,MMNAVGPI,Wolf/mmnav/data/raw/VR/M04_D18_2025-11-30_13-15-44_MMNAVGPI
