,mouse,date,session,filepath
350,1546,2023-02-08,opto2,Bri/optetrode_recordings/chR2/1546/1546_2023-02-08_12-25-30_opto2
351,1546,2023-02-10,of,Bri/optetrode_recordings/chR2/1546/1546_2023-02-10_11-20-22_of
352,1546,2023-02-10,obj,Bri/optetrode_recordings/chR2/1546/1546_2023-02-10_11-38-12_obj
353,1546,2023-02-10,obj1,Bri/optetrode_recordings/chR2/1546/1546_2023-02-10_11-59-15_obj1
354,1546,2023-02-10,opto,Bri/optetrode_recordings/chR2/1546/1546_2023-02-10_12-22-42_opto
355,1546,2023-02-10,opto2,Bri/optetrode_recordings/chR2/1546/1546_2023-02-10_12-30-42_opto2
356,1546,2023-02-13,of,Bri/optetrode_recordings/chR2/1546/1546_2023-02-13_12-11-41_of
357,1546,2023-02-13,opto,Bri/optetrode_recordings/chR2/1546/1546_2023-02-13_12-38-16_opto
358,1546,2023-02-13,opto1,Bri/optetrode_recordings/chR2/1546/1546_2023-02-13_12-47-56_opto1
359,1546,2023-02-16,of,Bri/optetrode_recordings/chR2/1546/1546_2023-02-16_12-46-26_of
360,1546,2023-02-16,opto,Bri/optetrode_recordings/chR2/1546/1546_2023-02-16_14-05-12_opto
361,1546,2023-02-16,opto2,Bri/optetrode_recordings/chR2/1546/1546_2023-02-16_14-13-18_opto2
362,1546,2023-02-17,of,Bri/optetrode_recordings/chR2/1546/1546_2023-02-17_12-38-25_of
363,1546,2023-02-17,opto,Bri/optetrode_recordings/chR2/1546/1546_2023-02-17_13-16-53_opto
364,1546,2023-02-17,opto2,Bri/optetrode_recordings/chR2/1546/1546_2023-02-17_13-24-32_opto2
365,1546,2023-02-27,of,Bri/optetrode_recordings/chR2/1546/1546_2023-02-27_12-08-20_of
366,1546,2023-02-27,opto,Bri/optetrode_recordings/chR2/1546/1546_2023-02-27_12-50-10_opto
367,1546,2023-02-27,opto1,Bri/optetrode_recordings/chR2/1546/1546_2023-02-27_12-59-15_opto1
368,1546,2023-03-01,of,Bri/optetrode_recordings/chR2/1546/1546_2023-03-01_11-21-46_of
369,1546,2023-03-01,obj,Bri/optetrode_recordings/chR2/1546/1546_2023-03-01_11-43-21_obj
370,1546,2023-03-01,obj1,Bri/optetrode_recordings/chR2/1546/1546_2023-03-01_12-05-58_obj1
371,1546,2023-03-01,opto,Bri/optetrode_recordings/chR2/1546/1546_2023-03-01_12-30-17_opto
372,1546,2023-03-01,opto1,Bri/optetrode_recordings/chR2/1546/1546_2023-03-01_12-39-35_opto1
373,1636,2023-07-03,of,Bri/optetrode_recordings/chR2/1636/1636_2023-07-03_10-32-37_of
374,1636,2023-07-03,opto,Bri/optetrode_recordings/chR2/1636/1636_2023-07-03_11-09-38_opto
375,1636,2023-07-03,opto2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-03_11-31-34_opto2
376,1636,2023-07-07,of,Bri/optetrode_recordings/chR2/1636/1636_2023-07-07_10-13-12_of
377,1636,2023-07-07,obj,Bri/optetrode_recordings/chR2/1636/1636_2023-07-07_10-40-33_obj
378,1636,2023-07-07,opto,Bri/optetrode_recordings/chR2/1636/1636_2023-07-07_11-08-04_opto
379,1636,2023-07-07,opto2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-07_11-31-39_opto2
380,1636,2023-07-12,of,Bri/optetrode_recordings/chR2/1636/1636_2023-07-12_10-26-29_of
381,1636,2023-07-12,obj,Bri/optetrode_recordings/chR2/1636/1636_2023-07-12_10-47-57_obj
382,1636,2023-07-12,of2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-12_11-09-04_of2
383,1636,2023-07-12,opto,Bri/optetrode_recordings/chR2/1636/1636_2023-07-12_11-33-19_opto
384,1636,2023-07-12,opto2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-12_11-54-48_opto2
385,1636,2023-07-14,of,Bri/optetrode_recordings/chR2/1636/1636_2023-07-14_10-01-33_of
386,1636,2023-07-14,obj,Bri/optetrode_recordings/chR2/1636/1636_2023-07-14_10-22-32_obj
387,1636,2023-07-14,obj2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-14_10-54-32_obj2
388,1636,2023-07-14,of2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-14_11-18-46_of2
389,1636,2023-07-14,opto,Bri/optetrode_recordings/chR2/1636/1636_2023-07-14_11-50-02_opto
390,1636,2023-07-14,opto2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-14_12-09-11_opto2
391,1636,2023-07-17,of,Bri/optetrode_recordings/chR2/1636/1636_2023-07-17_10-55-16_of
392,1636,2023-07-17,obj,Bri/optetrode_recordings/chR2/1636/1636_2023-07-17_11-30-24_obj
393,1636,2023-07-17,of2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-17_11-50-20_of2
394,1636,2023-07-17,opto,Bri/optetrode_recordings/chR2/1636/1636_2023-07-17_12-12-35_opto
395,1636,2023-07-17,opto2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-17_12-35-19_opto2
396,1636,2023-07-19,of,Bri/optetrode_recordings/chR2/1636/1636_2023-07-19_10-32-23_of
397,1636,2023-07-19,obj,Bri/optetrode_recordings/chR2/1636/1636_2023-07-19_11-03-28_obj
398,1636,2023-07-19,obj2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-19_11-34-36_obj2
399,1636,2023-07-19,of2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-19_12-01-22_of2
400,1636,2023-07-19,opto,Bri/optetrode_recordings/chR2/1636/1636_2023-07-19_12-23-41_opto
401,1636,2023-07-19,opto2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-19_12-44-37_opto2
402,1636,2023-07-24,of,Bri/optetrode_recordings/chR2/1636/1636_2023-07-24_13-13-43_of
403,1636,2023-07-24,obj,Bri/optetrode_recordings/chR2/1636/1636_2023-07-24_13-48-47_obj
404,1636,2023-07-24,of2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-24_14-20-41_of2
405,1636,2023-07-24,opto,Bri/optetrode_recordings/chR2/1636/1636_2023-07-24_14-56-02_opto
406,1636,2023-07-24,opto2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-24_15-15-28_opto2
407,1636,2023-07-28,of,Bri/optetrode_recordings/chR2/1636/1636_2023-07-28_10-33-57_of
408,1636,2023-07-28,obj,Bri/optetrode_recordings/chR2/1636/1636_2023-07-28_10-57-39_obj
409,1636,2023-07-28,obj2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-28_11-21-09_obj2
410,1636,2023-07-28,of2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-28_11-42-47_of2
411,1636,2023-07-28,opto,Bri/optetrode_recordings/chR2/1636/1636_2023-07-28_12-02-10_opto
412,1636,2023-07-28,opto2,Bri/optetrode_recordings/chR2/1636/1636_2023-07-28_12-25-14_opto2
413,1636,2023-08-16,of,Bri/optetrode_recordings/chR2/1636/1636_2023-08-16_10-03-53_of
414,1636,2023-08-16,obj,Bri/optetrode_recordings/chR2/1636/1636_2023-08-16_10-26-07_obj
415,1636,2023-08-16,of2,Bri/optetrode_recordings/chR2/1636/1636_2023-08-16_10-51-49_of2
416,1636,2023-08-16,opto,Bri/optetrode_recordings/chR2/1636/1636_2023-08-16_11-08-36_opto
417,1636,2023-08-16,opto2,Bri/optetrode_recordings/chR2/1636/1636_2023-08-16_11-29-51_opto2
418,1738,2024-03-10,of,Bri/optetrode_recordings/chR2/1738/1738_2024-03-10_13-32-48_of
419,1738,2024-03-10,opto,Bri/optetrode_recordings/chR2/1738/1738_2024-03-10_13-58-53_opto
420,1738,2024-03-11,of,Bri/optetrode_recordings/chR2/1738/1738_2024-03-11_14-40-44_of
421,1738,2024-03-11,obj,Bri/optetrode_recordings/chR2/1738/1738_2024-03-11_14-57-04_obj
422,1738,2024-03-11,of1,Bri/optetrode_recordings/chR2/1738/1738_2024-03-11_15-15-07_of1
423,1738,2024-03-11,obj1,Bri/optetrode_recordings/chR2/1738/1738_2024-03-11_15-37-21_obj1
424,1738,2024-03-11,of2,Bri/optetrode_recordings/chR2/1738/1738_2024-03-11_16-01-21_of2
425,1738,2024-03-11,opto,Bri/optetrode_recordings/chR2/1738/1738_2024-03-11_16-13-25_opto
426,1738,2024-03-12,of,Bri/optetrode_recordings/chR2/1738/1738_2024-03-12_14-44-04_of
427,1738,2024-03-12,obj,Bri/optetrode_recordings/chR2/1738/1738_2024-03-12_14-59-51_obj
428,1738,2024-03-12,obj1,Bri/optetrode_recordings/chR2/1738/1738_2024-03-12_15-16-19_obj1
429,1738,2024-03-12,of1,Bri/optetrode_recordings/chR2/1738/1738_2024-03-12_15-32-07_of1
430,1738,2024-03-12,opto,Bri/optetrode_recordings/chR2/1738/1738_2024-03-12_15-55-20_opto
431,1738,2024-03-12,opto1,Bri/optetrode_recordings/chR2/1738/1738_2024-03-12_16-09-17_opto1
432,1738,2024-03-14,of,Bri/optetrode_recordings/chR2/1738/1738_2024-03-14_13-12-15_of
433,1738,2024-03-14,obj,Bri/optetrode_recordings/chR2/1738/1738_2024-03-14_13-28-10_obj
434,1738,2024-03-14,of1,Bri/optetrode_recordings/chR2/1738/1738_2024-03-14_13-42-43_of1
435,1738,2024-03-14,obj1,Bri/optetrode_recordings/chR2/1738/1738_2024-03-14_13-57-52_obj1
436,1738,2024-03-14,of2,Bri/optetrode_recordings/chR2/1738/1738_2024-03-14_14-12-44_of2
437,1738,2024-03-14,opto,Bri/optetrode_recordings/chR2/1738/1738_2024-03-14_14-32-53_opto
438,1738,2024-03-15,of,Bri/optetrode_recordings/chR2/1738/1738_2024-03-15_13-21-29_of
439,1738,2024-03-15,obj,Bri/optetrode_recordings/chR2/1738/1738_2024-03-15_13-39-08_obj
440,1738,2024-03-15,obj1,Bri/optetrode_recordings/chR2/1738/1738_2024-03-15_13-54-10_obj1
441,1738,2024-03-15,of1,Bri/optetrode_recordings/chR2/1738/1738_2024-03-15_14-08-51_of1
442,1738,2024-03-15,opto,Bri/optetrode_recordings/chR2/1738/1738_2024-03-15_14-25-25_opto
443,1738,2024-03-17,of,Bri/optetrode_recordings/chR2/1738/1738_2024-03-17_12-39-46_of
444,1738,2024-03-17,obj,Bri/optetrode_recordings/chR2/1738/1738_2024-03-17_12-51-51_obj
445,1738,2024-03-17,of1,Bri/optetrode_recordings/chR2/1738/1738_2024-03-17_13-06-16_of1
446,1738,2024-03-17,opto,Bri/optetrode_recordings/chR2/1738/1738_2024-03-17_13-45-23_opto
447,1740,2024-03-04,of,Bri/optetrode_recordings/chR2/1740/1740_2024-03-04_17-52-07_of
448,1740,2024-03-04,opto,Bri/optetrode_recordings/chR2/1740/1740_2024-03-04_18-21-59_opto
449,1740,2024-03-07,of,Bri/optetrode_recordings/chR2/1740/1740_2024-03-07_15-32-27_of
450,1740,2024-03-07,opto,Bri/optetrode_recordings/chR2/1740/1740_2024-03-07_16-21-30_opto
451,1740,2024-03-08,of,Bri/optetrode_recordings/chR2/1740/1740_2024-03-08_15-02-33_of
452,1740,2024-03-08,opto,Bri/optetrode_recordings/chR2/1740/1740_2024-03-08_15-25-38_opto
453,1740,2024-03-11,of,Bri/optetrode_recordings/chR2/1740/1740_2024-03-11_16-32-50_of
454,1740,2024-03-11,obj,Bri/optetrode_recordings/chR2/1740/1740_2024-03-11_16-50-34_obj
455,1740,2024-03-11,of1,Bri/optetrode_recordings/chR2/1740/1740_2024-03-11_17-12-42_of1
456,1740,2024-03-11,opto,Bri/optetrode_recordings/chR2/1740/1740_2024-03-11_17-36-25_opto
457,1740,2024-03-12,of,Bri/optetrode_recordings/chR2/1740/1740_2024-03-12_16-36-31_of
458,1740,2024-03-12,obj,Bri/optetrode_recordings/chR2/1740/1740_2024-03-12_16-47-50_obj
459,1740,2024-03-12,of1,Bri/optetrode_recordings/chR2/1740/1740_2024-03-12_16-58-38_of1
460,1740,2024-03-12,obj1,Bri/optetrode_recordings/chR2/1740/1740_2024-03-12_17-10-36_obj1
461,1740,2024-03-12,opto,Bri/optetrode_recordings/chR2/1740/1740_2024-03-12_17-48-55_opto
462,1740,2024-03-12,opto2,Bri/optetrode_recordings/chR2/1740/1740_2024-03-12_18-01-53_opto2
463,1740,2024-03-14,of,Bri/optetrode_recordings/chR2/1740/1740_2024-03-14_14-52-28_of
464,1740,2024-03-14,obj,Bri/optetrode_recordings/chR2/1740/1740_2024-03-14_15-04-15_obj
465,1740,2024-03-14,of1,Bri/optetrode_recordings/chR2/1740/1740_2024-03-14_15-15-54_of1
466,1740,2024-03-14,obj1,Bri/optetrode_recordings/chR2/1740/1740_2024-03-14_15-32-20_obj1
467,1740,2024-03-14,of2,Bri/optetrode_recordings/chR2/1740/1740_2024-03-14_15-52-18_of2
468,1740,2024-03-14,opto,Bri/optetrode_recordings/chR2/1740/1740_2024-03-14_16-08-55_opto
469,1740,2024-03-15,of,Bri/optetrode_recordings/chR2/1740/1740_2024-03-15_14-46-57_of
470,1740,2024-03-15,obj,Bri/optetrode_recordings/chR2/1740/1740_2024-03-15_15-01-42_obj
471,1740,2024-03-15,obj1,Bri/optetrode_recordings/chR2/1740/1740_2024-03-15_15-16-09_obj1
472,1740,2024-03-15,of1,Bri/optetrode_recordings/chR2/1740/1740_2024-03-15_15-33-14_of1
473,1740,2024-03-15,opto,Bri/optetrode_recordings/chR2/1740/1740_2024-03-15_15-49-44_opto
474,1740,2024-03-15,opto1,Bri/optetrode_recordings/chR2/1740/1740_2024-03-15_16-01-54_opto1
475,1740,2024-03-17,of,Bri/optetrode_recordings/chR2/1740/1740_2024-03-17_14-21-32_of
476,1740,2024-03-17,obj,Bri/optetrode_recordings/chR2/1740/1740_2024-03-17_14-33-30_obj
477,1740,2024-03-17,of1,Bri/optetrode_recordings/chR2/1740/1740_2024-03-17_14-49-09_of1
478,1740,2024-03-17,obj1,Bri/optetrode_recordings/chR2/1740/1740_2024-03-17_15-05-24_obj1
479,1740,2024-03-17,of2,Bri/optetrode_recordings/chR2/1740/1740_2024-03-17_15-18-22_of2
480,1740,2024-03-17,opto,Bri/optetrode_recordings/chR2/1740/1740_2024-03-17_15-36-31_opto
481,1740,2024-03-18,of,Bri/optetrode_recordings/chR2/1740/1740_2024-03-18_14-08-28_of
482,1740,2024-03-18,obj,Bri/optetrode_recordings/chR2/1740/1740_2024-03-18_14-25-01_obj
483,1740,2024-03-18,obj1,Bri/optetrode_recordings/chR2/1740/1740_2024-03-18_14-44-56_obj1
484,1740,2024-03-18,of1,Bri/optetrode_recordings/chR2/1740/1740_2024-03-18_15-05-40_of1
485,1740,2024-03-18,opto,Bri/optetrode_recordings/chR2/1740/1740_2024-03-18_15-24-43_opto
486,1740,2024-03-18,opto1,Bri/optetrode_recordings/chR2/1740/1740_2024-03-18_15-36-33_opto1
487,1740,2024-03-21,of,Bri/optetrode_recordings/chR2/1740/1740_2024-03-21_13-03-18_of
488,1740,2024-03-21,obj,Bri/optetrode_recordings/chR2/1740/1740_2024-03-21_13-14-02_obj
489,1740,2024-03-21,of1,Bri/optetrode_recordings/chR2/1740/1740_2024-03-21_13-29-58_of1
490,1740,2024-03-21,obj1,Bri/optetrode_recordings/chR2/1740/1740_2024-03-21_13-42-17_obj1
491,1740,2024-03-21,of2,Bri/optetrode_recordings/chR2/1740/1740_2024-03-21_13-56-31_of2
492,1740,2024-03-21,opto,Bri/optetrode_recordings/chR2/1740/1740_2024-03-21_14-14-25_opto
493,1740,2024-03-21,opto1,Bri/optetrode_recordings/chR2/1740/1740_2024-03-21_14-26-33_opto1
494,1748,2024-03-15,of,Bri/optetrode_recordings/chR2/1748/1748_2024-03-15_16-27-52_of
495,1748,2024-03-15,opto,Bri/optetrode_recordings/chR2/1748/1748_2024-03-15_16-46-37_opto
496,1748,2024-03-18,of,Bri/optetrode_recordings/chR2/1748/1748_2024-03-18_12-59-27_of
497,1748,2024-03-18,opto2,Bri/optetrode_recordings/chR2/1748/1748_2024-03-18_13-32-32_opto2
498,1748,2024-03-18,opto3,Bri/optetrode_recordings/chR2/1748/1748_2024-03-18_13-44-20_opto3
499,1748,2024-03-21,of,Bri/optetrode_recordings/chR2/1748/1748_2024-03-21_15-40-07_of
500,1748,2024-03-21,obj,Bri/optetrode_recordings/chR2/1748/1748_2024-03-21_15-56-55_obj
501,1748,2024-03-21,of1,Bri/optetrode_recordings/chR2/1748/1748_2024-03-21_16-15-56_of1
502,1748,2024-03-21,opto,Bri/optetrode_recordings/chR2/1748/1748_2024-03-21_16-34-02_opto
503,1748,2024-03-22,of,Bri/optetrode_recordings/chR2/1748/1748_2024-03-22_16-33-33_of
504,1748,2024-03-22,obj,Bri/optetrode_recordings/chR2/1748/1748_2024-03-22_16-49-34_obj
505,1748,2024-03-22,of1,Bri/optetrode_recordings/chR2/1748/1748_2024-03-22_17-04-45_of1
506,1748,2024-03-22,obj1,Bri/optetrode_recordings/chR2/1748/1748_2024-03-22_17-18-26_obj1
507,1748,2024-03-22,of2,Bri/optetrode_recordings/chR2/1748/1748_2024-03-22_17-40-46_of2
508,1748,2024-03-22,opto,Bri/optetrode_recordings/chR2/1748/1748_2024-03-22_17-56-47_opto
509,1748,2024-03-25,of,Bri/optetrode_recordings/chR2/1748/1748_2024-03-25_15-04-07_of
510,1748,2024-03-25,obj,Bri/optetrode_recordings/chR2/1748/1748_2024-03-25_15-23-05_obj
511,1748,2024-03-25,of1,Bri/optetrode_recordings/chR2/1748/1748_2024-03-25_15-40-16_of1
512,1748,2024-03-25,obj1,Bri/optetrode_recordings/chR2/1748/1748_2024-03-25_15-58-08_obj1
513,1748,2024-03-25,of2,Bri/optetrode_recordings/chR2/1748/1748_2024-03-25_16-14-59_of2
514,1748,2024-03-25,opto,Bri/optetrode_recordings/chR2/1748/1748_2024-03-25_16-31-15_opto
515,1748,2024-03-28,of,Bri/optetrode_recordings/chR2/1748/1748_2024-03-28_14-24-31_of
516,1748,2024-03-28,obj,Bri/optetrode_recordings/chR2/1748/1748_2024-03-28_14-41-04_obj
517,1748,2024-03-28,of1,Bri/optetrode_recordings/chR2/1748/1748_2024-03-28_15-03-46_of1
518,1748,2024-03-28,obj1,Bri/optetrode_recordings/chR2/1748/1748_2024-03-28_15-24-17_obj1
519,1748,2024-03-28,of2,Bri/optetrode_recordings/chR2/1748/1748_2024-03-28_15-42-53_of2
520,1748,2024-03-28,opto,Bri/optetrode_recordings/chR2/1748/1748_2024-03-28_16-00-25_opto
521,1748,2024-03-28,opto1,Bri/optetrode_recordings/chR2/1748/1748_2024-03-28_16-18-50_opto1
522,1748,2024-03-30,of,Bri/optetrode_recordings/chR2/1748/1748_2024-03-30_15-12-40_of
523,1748,2024-03-30,obj,Bri/optetrode_recordings/chR2/1748/1748_2024-03-30_15-29-35_obj
524,1748,2024-03-30,obj1,Bri/optetrode_recordings/chR2/1748/1748_2024-03-30_15-45-29_obj1
525,1748,2024-03-30,of2,Bri/optetrode_recordings/chR2/1748/1748_2024-03-30_16-18-58_of2
526,1748,2024-03-30,opto,Bri/optetrode_recordings/chR2/1748/1748_2024-03-30_16-36-51_opto
527,1748,2024-04-02,of,Bri/optetrode_recordings/chR2/1748/1748_2024-04-02_12-30-56_of
528,1748,2024-04-02,obj,Bri/optetrode_recordings/chR2/1748/1748_2024-04-02_12-41-30_obj
529,1748,2024-04-02,obj1,Bri/optetrode_recordings/chR2/1748/1748_2024-04-02_12-54-58_obj1
530,1748,2024-04-02,of1,Bri/optetrode_recordings/chR2/1748/1748_2024-04-02_13-07-03_of1
531,1748,2024-04-02,opto,Bri/optetrode_recordings/chR2/1748/1748_2024-04-02_13-20-24_opto
532,1748,2024-04-03,of,Bri/optetrode_recordings/chR2/1748/1748_2024-04-03_13-04-38_of
533,1748,2024-04-03,obj,Bri/optetrode_recordings/chR2/1748/1748_2024-04-03_13-16-44_obj
534,1748,2024-04-03,of1,Bri/optetrode_recordings/chR2/1748/1748_2024-04-03_13-33-53_of1
535,1748,2024-04-03,obj1,Bri/optetrode_recordings/chR2/1748/1748_2024-04-03_13-51-25_obj1
536,1748,2024-04-03,of2,Bri/optetrode_recordings/chR2/1748/1748_2024-04-03_14-12-11_of2
537,1748,2024-04-03,opto,Bri/optetrode_recordings/chR2/1748/1748_2024-04-03_14-30-54_opto
538,1748,2024-04-03,opto1,Bri/optetrode_recordings/chR2/1748/1748_2024-04-03_14-49-19_opto1
539,1748,2024-04-04,of,Bri/optetrode_recordings/chR2/1748/1748_2024-04-04_12-42-40_of
540,1748,2024-04-04,obj,Bri/optetrode_recordings/chR2/1748/1748_2024-04-04_13-01-34_obj
541,1748,2024-04-04,obj1,Bri/optetrode_recordings/chR2/1748/1748_2024-04-04_13-19-26_obj1
542,1748,2024-04-04,of1,Bri/optetrode_recordings/chR2/1748/1748_2024-04-04_13-34-00_of1
543,1748,2024-04-04,opto,Bri/optetrode_recordings/chR2/1748/1748_2024-04-04_13-48-55_opto
544,1748,2024-04-04,opto1,Bri/optetrode_recordings/chR2/1748/1748_2024-04-04_14-06-40_opto1
545,1748,2024-04-11,of,Bri/optetrode_recordings/chR2/1748/1748_2024-04-11_11-41-08_of
546,1748,2024-04-11,opto,Bri/optetrode_recordings/chR2/1748/1748_2024-04-11_11-59-56_opto
547,1748,2024-04-11,opto1,Bri/optetrode_recordings/chR2/1748/1748_2024-04-11_12-18-23_opto1
548,1757,2024-04-19,of,Bri/optetrode_recordings/chR2/1757/1757_2024-04-19_11-35-33_of
549,1757,2024-04-19,opto,Bri/optetrode_recordings/chR2/1757/1757_2024-04-19_12-01-02_opto
550,1757,2024-04-22,of,Bri/optetrode_recordings/chR2/1757/1757_2024-04-22_10-54-54_of
551,1757,2024-04-22,opto,Bri/optetrode_recordings/chR2/1757/1757_2024-04-22_11-17-29_opto
552,1757,2024-04-22,opto1,Bri/optetrode_recordings/chR2/1757/1757_2024-04-22_11-35-37_opto1
553,1757,2024-04-23,of,Bri/optetrode_recordings/chR2/1757/1757_2024-04-23_09-47-17_of
554,1757,2024-04-23,obj,Bri/optetrode_recordings/chR2/1757/1757_2024-04-23_10-13-19_obj
555,1757,2024-04-23,of1,Bri/optetrode_recordings/chR2/1757/1757_2024-04-23_10-44-00_of1
556,1757,2024-04-23,opto,Bri/optetrode_recordings/chR2/1757/1757_2024-04-23_11-22-14_opto
557,1868,2025-03-07,of,Bri/optetrode_recordings/chR2/1868/1868_2025-03-07_10-05-32_of
558,1868,2025-03-07,opto1,Bri/optetrode_recordings/chR2/1868/1868_2025-03-07_10-34-19_opto1
559,1868,2025-03-08,of,Bri/optetrode_recordings/chR2/1868/1868_2025-03-08_11-44-49_of
560,1868,2025-03-08,opto,Bri/optetrode_recordings/chR2/1868/1868_2025-03-08_12-27-14_opto
561,1868,2025-03-10,of,Bri/optetrode_recordings/chR2/1868/1868_2025-03-10_16-28-11_of
562,1868,2025-03-10,obj,Bri/optetrode_recordings/chR2/1868/1868_2025-03-10_16-47-46_obj
563,1868,2025-03-10,of1,Bri/optetrode_recordings/chR2/1868/1868_2025-03-10_17-18-23_of1
564,1868,2025-03-10,opto,Bri/optetrode_recordings/chR2/1868/1868_2025-03-10_17-43-17_opto
565,1868,2025-03-12,of,Bri/optetrode_recordings/chR2/1868/1868_2025-03-12_10-06-49_of
566,1868,2025-03-12,obj,Bri/optetrode_recordings/chR2/1868/1868_2025-03-12_10-33-05_obj
567,1868,2025-03-12,of1,Bri/optetrode_recordings/chR2/1868/1868_2025-03-12_11-11-19_of1
568,1868,2025-03-12,opto,Bri/optetrode_recordings/chR2/1868/1868_2025-03-12_11-31-46_opto
569,1868,2025-03-13,of,Bri/optetrode_recordings/chR2/1868/1868_2025-03-13_13-54-09_of
570,1868,2025-03-13,obj,Bri/optetrode_recordings/chR2/1868/1868_2025-03-13_14-20-19_obj
571,1868,2025-03-13,of1,Bri/optetrode_recordings/chR2/1868/1868_2025-03-13_14-57-31_of1
572,1868,2025-03-13,opto,Bri/optetrode_recordings/chR2/1868/1868_2025-03-13_15-37-05_opto
573,1868,2025-03-14,of,Bri/optetrode_recordings/chR2/1868/1868_2025-03-14_16-55-34_of
574,1868,2025-03-14,opto,Bri/optetrode_recordings/chR2/1868/1868_2025-03-14_17-24-21_opto
575,1868,2025-03-17,of,Bri/optetrode_recordings/chR2/1868/1868_2025-03-17_11-57-46_of
576,1868,2025-03-17,obj,Bri/optetrode_recordings/chR2/1868/1868_2025-03-17_12-19-03_obj
577,1868,2025-03-17,of1,Bri/optetrode_recordings/chR2/1868/1868_2025-03-17_12-46-55_of1
578,1868,2025-03-17,obj1,Bri/optetrode_recordings/chR2/1868/1868_2025-03-17_13-11-33_obj1
579,1868,2025-03-17,of2,Bri/optetrode_recordings/chR2/1868/1868_2025-03-17_13-46-53_of2
580,1868,2025-03-17,opto,Bri/optetrode_recordings/chR2/1868/1868_2025-03-17_14-14-15_opto
581,1868,2025-03-18,of,Bri/optetrode_recordings/chR2/1868/1868_2025-03-18_11-34-05_of
582,1868,2025-03-18,obj,Bri/optetrode_recordings/chR2/1868/1868_2025-03-18_11-54-43_obj
583,1868,2025-03-18,of1,Bri/optetrode_recordings/chR2/1868/1868_2025-03-18_12-20-00_of1
584,1868,2025-03-18,obj1,Bri/optetrode_recordings/chR2/1868/1868_2025-03-18_12-46-26_obj1
585,1868,2025-03-18,of2,Bri/optetrode_recordings/chR2/1868/1868_2025-03-18_13-10-03_of2
586,1868,2025-03-18,opto,Bri/optetrode_recordings/chR2/1868/1868_2025-03-18_13-35-29_opto
587,1868,2025-03-20,of,Bri/optetrode_recordings/chR2/1868/1868_2025-03-20_15-57-12_of
588,1868,2025-03-20,opto,Bri/optetrode_recordings/chR2/1868/1868_2025-03-20_17-00-48_opto
589,1868,2025-03-21,of,Bri/optetrode_recordings/chR2/1868/1868_2025-03-21_15-41-52_of
590,1868,2025-03-21,obj,Bri/optetrode_recordings/chR2/1868/1868_2025-03-21_16-02-11_obj
591,1868,2025-03-21,of1,Bri/optetrode_recordings/chR2/1868/1868_2025-03-21_16-37-00_of1
592,1868,2025-03-21,opto,Bri/optetrode_recordings/chR2/1868/1868_2025-03-21_17-04-49_opto
593,1868,2025-03-23,of,Bri/optetrode_recordings/chR2/1868/1868_2025-03-23_13-49-52_of
594,1868,2025-03-23,obj,Bri/optetrode_recordings/chR2/1868/1868_2025-03-23_14-08-10_obj
595,1868,2025-03-23,opto,Bri/optetrode_recordings/chR2/1868/1868_2025-03-23_14-26-50_opto
596,1868,2025-03-23,obj1,Bri/optetrode_recordings/chR2/1868/1868_2025-03-23_14-49-12_obj1
597,1868,2025-03-23,of1,Bri/optetrode_recordings/chR2/1868/1868_2025-03-23_15-08-27_of1
598,1868,2025-03-24,of,Bri/optetrode_recordings/chR2/1868/1868_2025-03-24_11-06-09_of
599,1868,2025-03-24,obj,Bri/optetrode_recordings/chR2/1868/1868_2025-03-24_11-22-23_obj
600,1868,2025-03-24,of1,Bri/optetrode_recordings/chR2/1868/1868_2025-03-24_11-39-09_of1
601,1868,2025-03-24,obj1,Bri/optetrode_recordings/chR2/1868/1868_2025-03-24_11-56-40_obj1
602,1868,2025-03-24,of2,Bri/optetrode_recordings/chR2/1868/1868_2025-03-24_12-14-48_of2
603,1868,2025-03-24,opto,Bri/optetrode_recordings/chR2/1868/1868_2025-03-24_12-32-04_opto
604,1868,2025-03-25,of,Bri/optetrode_recordings/chR2/1868/1868_2025-03-25_12-37-03_of
605,1868,2025-03-25,obj,Bri/optetrode_recordings/chR2/1868/1868_2025-03-25_12-53-32_obj
606,1868,2025-03-25,opto,Bri/optetrode_recordings/chR2/1868/1868_2025-03-25_13-15-34_opto
607,1868,2025-03-25,obj1,Bri/optetrode_recordings/chR2/1868/1868_2025-03-25_13-38-13_obj1
608,1868,2025-03-25,of1,Bri/optetrode_recordings/chR2/1868/1868_2025-03-25_13-54-21_of1
