,mouse,date,session,filepath
154,1543,2023-03-20,opto,Bri/optetrode_recordings/chR2/1543/1543_2023-03-20_11-17-07_opto
155,1543,2023-03-20,opto1,Bri/optetrode_recordings/chR2/1543/1543_2023-03-20_11-23-28_opto1
156,1543,2023-03-27,of,Bri/optetrode_recordings/chR2/1543/1543_2023-03-27_10-27-11_of
157,1543,2023-03-27,opto,Bri/optetrode_recordings/chR2/1543/1543_2023-03-27_10-51-33_opto
158,1543,2023-03-29,of,Bri/optetrode_recordings/chR2/1543/1543_2023-03-29_10-54-13_of
159,1543,2023-03-29,opto,Bri/optetrode_recordings/chR2/1543/1543_2023-03-29_11-19-22_opto
160,1543,2023-03-29,opto1,Bri/optetrode_recordings/chR2/1543/1543_2023-03-29_11-28-58_opto1
161,1544,2023-01-25,of,Bri/optetrode_recordings/chR2/1544/1544_2023-01-25_11-54-49_of
162,1544,2023-01-25,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-01-25_12-29-28_opto1
163,1544,2023-01-25,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-01-25_12-38-32_opto2
164,1544,2023-01-30,of,Bri/optetrode_recordings/chR2/1544/1544_2023-01-30_11-21-45_of
165,1544,2023-01-30,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-01-30_12-04-40_opto1
166,1544,2023-02-03,of,Bri/optetrode_recordings/chR2/1544/1544_2023-02-03_12-05-57_of
167,1544,2023-02-03,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-02-03_12-39-24_opto
168,1544,2023-02-03,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-02-03_12-47-14_opto2
169,1544,2023-02-06,of,Bri/optetrode_recordings/chR2/1544/1544_2023-02-06_12-25-19_of
170,1544,2023-02-06,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-02-06_13-08-35_opto
171,1544,2023-02-06,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-02-06_13-18-26_opto2
172,1544,2023-02-08,of,Bri/optetrode_recordings/chR2/1544/1544_2023-02-08_12-37-52_of
173,1544,2023-02-08,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-02-08_13-06-22_opto1
174,1544,2023-02-10,of,Bri/optetrode_recordings/chR2/1544/1544_2023-02-10_13-18-21_of
175,1544,2023-02-10,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-02-10_13-54-11_opto1
176,1544,2023-02-10,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-02-10_14-03-26_opto2
177,1544,2023-02-13,of,Bri/optetrode_recordings/chR2/1544/1544_2023-02-13_12-59-06_of
178,1544,2023-02-13,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-02-13_13-24-42_obj
179,1544,2023-02-13,obj1,Bri/optetrode_recordings/chR2/1544/1544_2023-02-13_13-45-49_obj1
180,1544,2023-02-13,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-02-13_14-08-34_opto
181,1544,2023-02-13,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-02-13_14-19-24_opto1
182,1544,2023-02-16,of,Bri/optetrode_recordings/chR2/1544/1544_2023-02-16_14-31-08_of
183,1544,2023-02-16,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-02-16_15-13-42_opto1
184,1544,2023-02-17,of,Bri/optetrode_recordings/chR2/1544/1544_2023-02-17_13-36-38_of
185,1544,2023-02-17,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-02-17_14-17-53_opto
186,1544,2023-02-17,opto3,Bri/optetrode_recordings/chR2/1544/1544_2023-02-17_14-27-58_opto3
187,1544,2023-02-20,of,Bri/optetrode_recordings/chR2/1544/1544_2023-02-20_14-10-11_of
188,1544,2023-02-20,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-02-20_14-45-58_obj
189,1544,2023-02-20,obj1,Bri/optetrode_recordings/chR2/1544/1544_2023-02-20_15-06-38_obj1
190,1544,2023-02-20,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-02-20_15-28-36_opto
191,1544,2023-02-20,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-02-20_15-38-02_opto1
192,1544,2023-02-22,of,Bri/optetrode_recordings/chR2/1544/1544_2023-02-22_12-43-11_of
193,1544,2023-02-22,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-02-22_13-14-41_opto
194,1544,2023-02-22,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-02-22_13-26-17_opto1
195,1544,2023-02-24,of,Bri/optetrode_recordings/chR2/1544/1544_2023-02-24_11-33-35_of
196,1544,2023-02-24,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-02-24_11-59-21_obj
197,1544,2023-02-24,obj1,Bri/optetrode_recordings/chR2/1544/1544_2023-02-24_12-22-05_obj1
198,1544,2023-02-24,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-02-24_12-46-26_opto
199,1544,2023-02-24,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-02-24_12-55-01_opto1
200,1544,2023-02-27,of,Bri/optetrode_recordings/chR2/1544/1544_2023-02-27_13-13-33_of
201,1544,2023-02-27,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-02-27_13-50-55_opto
202,1544,2023-02-27,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-02-27_13-59-50_opto1
203,1544,2023-03-01,of,Bri/optetrode_recordings/chR2/1544/1544_2023-03-01_12-51-10_of
204,1544,2023-03-01,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-03-01_13-15-57_obj
205,1544,2023-03-01,obj1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-01_13-36-53_obj1
206,1544,2023-03-01,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-01_14-12-01_opto1
207,1544,2023-03-01,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-03-01_14-19-55_opto2
208,1544,2023-03-03,of,Bri/optetrode_recordings/chR2/1544/1544_2023-03-03_12-45-46_of
209,1544,2023-03-03,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-03-03_13-13-11_obj
210,1544,2023-03-03,obj1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-03_13-43-23_obj1
211,1544,2023-03-03,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-03-03_14-16-15_opto
212,1544,2023-03-03,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-03_14-25-25_opto1
213,1544,2023-03-06,of,Bri/optetrode_recordings/chR2/1544/1544_2023-03-06_11-57-30_of
214,1544,2023-03-06,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-03-06_12-27-02_opto
215,1544,2023-03-06,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-03-06_12-34-56_opto2
216,1544,2023-03-08,of,Bri/optetrode_recordings/chR2/1544/1544_2023-03-08_12-53-34_of
217,1544,2023-03-08,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-03-08_13-15-58_obj
218,1544,2023-03-08,obj1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-08_13-35-53_obj1
219,1544,2023-03-08,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-03-08_13-54-57_opto
220,1544,2023-03-08,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-08_14-03-15_opto1
221,1544,2023-03-10,of,Bri/optetrode_recordings/chR2/1544/1544_2023-03-10_11-58-56_of
222,1544,2023-03-10,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-03-10_12-30-58_opto
223,1544,2023-03-10,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-10_12-39-14_opto1
224,1544,2023-03-13,of,Bri/optetrode_recordings/chR2/1544/1544_2023-03-13_11-11-28_of
225,1544,2023-03-13,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-03-13_11-34-14_obj
226,1544,2023-03-13,obj1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-13_11-59-10_obj1
227,1544,2023-03-13,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-03-13_12-29-29_opto
228,1544,2023-03-13,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-13_12-38-11_opto1
229,1544,2023-03-15,of,Bri/optetrode_recordings/chR2/1544/1544_2023-03-15_11-06-52_of
230,1544,2023-03-15,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-03-15_11-27-51_obj
231,1544,2023-03-15,obj1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-15_11-47-52_obj1
232,1544,2023-03-15,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-03-15_12-09-13_opto
233,1544,2023-03-15,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-15_12-17-51_opto1
234,1544,2023-03-17,of,Bri/optetrode_recordings/chR2/1544/1544_2023-03-17_11-09-15_of
235,1544,2023-03-17,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-03-17_11-30-00_obj
236,1544,2023-03-17,obj1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-17_11-50-39_obj1
237,1544,2023-03-17,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-03-17_12-32-51_opto2
238,1544,2023-03-17,opto3,Bri/optetrode_recordings/chR2/1544/1544_2023-03-17_12-44-40_opto3
239,1544,2023-03-20,of,Bri/optetrode_recordings/chR2/1544/1544_2023-03-20_11-47-54_of
240,1544,2023-03-20,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-03-20_12-14-38_obj
241,1544,2023-03-20,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-20_12-52-04_opto1
242,1544,2023-03-20,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-03-20_13-14-46_opto2
243,1544,2023-03-22,of,Bri/optetrode_recordings/chR2/1544/1544_2023-03-22_11-04-16_of
244,1544,2023-03-22,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-03-22_11-30-47_obj
245,1544,2023-03-22,obj1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-22_11-57-25_obj1
246,1544,2023-03-22,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-03-22_12-28-56_opto
247,1544,2023-03-22,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-22_12-36-53_opto1
248,1544,2023-03-22,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-03-22_12-42-32_opto2
249,1544,2023-03-24,of,Bri/optetrode_recordings/chR2/1544/1544_2023-03-24_13-43-32_of
250,1544,2023-03-24,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-03-24_14-27-01_opto
251,1544,2023-03-24,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-24_14-34-44_opto1
252,1544,2023-03-24,of2,Bri/optetrode_recordings/chR2/1544/1544_2023-03-24_14-57-14_of2
253,1544,2023-03-27,of,Bri/optetrode_recordings/chR2/1544/1544_2023-03-27_13-09-57_of
254,1544,2023-03-27,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-03-27_13-35-43_obj
255,1544,2023-03-27,obj1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-27_14-00-32_obj1
256,1544,2023-03-27,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-03-27_14-28-33_opto
257,1544,2023-03-27,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-27_14-53-35_opto1
258,1544,2023-03-27,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-03-27_15-02-03_opto2
259,1544,2023-03-29,of,Bri/optetrode_recordings/chR2/1544/1544_2023-03-29_11-50-21_of
260,1544,2023-03-29,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-03-29_12-15-52_obj
261,1544,2023-03-29,obj1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-29_12-41-33_obj1
